0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:00:28 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4797
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:00:49 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4848
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:01:03 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4849
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:01:16 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4849
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:01:17 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4849
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:01:21 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4848
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:01:24 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 39341
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:01:26 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4831
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:01:38 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4834
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:02:10 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 4635
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:07:21 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 5486
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:07:23 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 5485
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:07:29 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 39336
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:07:30 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 5769
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:07:32 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 5486
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:07:53 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 5540
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:10:27 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 6106
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:10:44 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 6108
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:19:38 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 6108
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:19:42 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 39331
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:19:45 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 39326
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:19:47 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 6107
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:20:07 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 7536
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:22:53 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 8803
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:23:11 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 8820
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:23:47 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 8804
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:23:58 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 8803
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:24:08 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 8795
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:25:31 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 9433
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:28:32 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 11409
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:30:43 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 12805
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:34:53 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 15674
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:37:07 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 17274
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:39:19 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 18767
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:39:24 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 18766
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:40:55 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 19823
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:42:39 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 21292
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:42:53 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 21310
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:49:55 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 23411
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:50:08 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 23429
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:52:26 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 24922
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:54:15 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 26000
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:56:01 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 27433
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:58:04 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 29841
0:0:0:0:0:0:0:1 - - [20/Jul/2023:10:59:47 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 30778
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:01:17 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 31803
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:03:28 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 33731
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:07:13 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 35930
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:08:38 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 36817
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:11:24 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 38270
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:15:00 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 38441
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:15:29 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 38447
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:15:43 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 38222
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:16:15 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 38542
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:16:43 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 38524
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:20:17 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 39336
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:20:19 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 34273
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:20:24 -0300] "GET /aluguel/faces/pages/relatorioimoveis.xhtml HTTP/1.1" 200 3660
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:20:28 -0300] "GET /aluguel/faces/pages/relatorioinquilinos.xhtml HTTP/1.1" 200 3508
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:20:32 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:20:36 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 38523
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:29:21 -0300] "GET /aluguel/faces/pages/relatorioimoveis.xhtml HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:29:30 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 38522
0:0:0:0:0:0:0:1 - - [20/Jul/2023:11:36:09 -0300] "GET /aluguel/faces/pages/contratos.xhtml HTTP/1.1" 200 38439
